timestamp,volume,y_pred
2015-11-06 13:20:00,48,38
2015-11-06 13:25:00,51,38
2015-11-06 13:30:00,46,39
2015-11-06 13:35:00,52,39
2015-11-06 13:40:00,46,39
2015-11-06 13:45:00,50,40
2015-11-06 13:50:00,47,40
2015-11-06 13:55:00,67,40
2015-11-06 14:00:00,65,41
2015-11-06 14:05:00,45,41
2015-11-06 14:10:00,68,41
2015-11-06 14:15:00,48,42
2015-11-06 14:20:00,53,42
2015-11-06 14:25:00,60,42
2015-11-06 14:30:00,43,42
2015-11-06 14:35:00,55,42
2015-11-06 14:40:00,50,43
2015-11-06 14:45:00,47,43
2015-11-06 14:50:00,60,43
2015-11-06 14:55:00,40,43
2015-11-06 15:00:00,43,43
2015-11-06 15:05:00,62,43
2015-11-06 15:10:00,49,43
2015-11-06 15:15:00,49,43
2015-11-06 15:20:00,44,43
2015-11-06 15:25:00,55,43
2015-11-06 15:30:00,60,43
2015-11-06 15:35:00,44,43
2015-11-06 15:40:00,60,43
2015-11-06 15:45:00,45,43
2015-11-06 15:50:00,56,43
2015-11-06 15:55:00,48,43
2015-11-06 16:00:00,54,43
2015-11-06 16:05:00,63,43
2015-11-06 16:10:00,50,43
2015-11-06 16:15:00,58,43
2015-11-06 16:20:00,57,42
2015-11-06 16:25:00,51,42
2015-11-06 16:30:00,51,42
2015-11-06 16:35:00,54,42
2015-11-06 16:40:00,58,42
2015-11-06 16:45:00,44,42
2015-11-06 16:50:00,54,42
2015-11-06 16:55:00,46,42
2015-11-06 17:00:00,54,42
2015-11-06 17:05:00,51,42
2015-11-06 17:10:00,63,42
2015-11-06 17:15:00,55,42
2015-11-06 17:20:00,53,42
2015-11-06 17:25:00,51,42
2015-11-06 17:30:00,74,42
2015-11-06 17:35:00,63,42
2015-11-06 17:40:00,59,42
2015-11-06 17:45:00,60,42
2015-11-06 17:50:00,74,42
2015-11-06 17:55:00,65,42
2015-11-06 18:00:00,44,42
2015-11-06 18:05:00,61,42
2015-11-06 18:10:00,61,42
2015-11-06 18:15:00,58,42
2015-11-06 18:20:00,38,42
2015-11-06 18:25:00,58,42
2015-11-06 18:30:00,50,42
2015-11-06 18:35:00,60,42
2015-11-06 18:40:00,65,42
2015-11-06 18:45:00,46,43
2015-11-06 18:50:00,63,43
2015-11-06 18:55:00,50,42
2015-11-06 19:00:00,57,42
2015-11-06 19:05:00,51,42
2015-11-06 19:10:00,53,42
2015-11-06 19:15:00,48,42
2015-11-06 19:20:00,50,42
2015-11-06 19:25:00,59,42
